Supplier,SupplierSolution.description,Solution.name,Solution.description,Problem.title
Lanfranco,Reduced downtime,Lanfranco Warranty & Support,Locknut support,Failures
Detectamet,Reduced contamination,Detectamet Safety Programme,Detectable PPE & hygiene,Workplace accidents
Iscar,Improved productivity,Iscar Academy,Cutting tool training,Incorrect use
Fronius,Reduced emissions,Fronius Academy,Welding & solar training,"Skills gaps, CO?"
CEJN,Reduced failures,CEJN Academy,Coupling & pneumatics training,Incorrect installation
Dixon,Reduced failures,Dixon Training & Support,Hose & coupling training,Incorrect installation
Legris (Parker),Reduced failures,Parker Training & Support,Pneumatics & fittings training,Incorrect installation
Dicsa,Reduced downtime,Dicsa Warranty & Support,Hydraulic component support,Failures
Hiwin,Reduced failures,Hiwin Academy,Linear motion training,Incorrect installation
Zen Bearings,Reduced downtime,Zen Bearings Warranty & Support,Bearing support,Failures
Oleonix,Reduced waste,Oleonix Sustainability Programme,Eco?friendly cleaning chemicals,Harsh chemicals
Refina,Reduced downtime,Refina Warranty & Support,Plastering tool support,Tool failures
CRC (CRC Industries),Reduced waste,CRC Training & Support,Chemical safety & sustainability,Incorrect use
Hydratech,Reduced downtime,Hydratech Technical Support,Glycol & fluid support,System failures
Century Hose,Reduced downtime,Century Hose Warranty & Support,Hose support,Failures
Donaldson,Reduced emissions,Donaldson Academy,Filtration training & sustainability,Incorrect application
Aroplus,Reduced downtime,Aroplus Warranty & Support,Pneumatic tool support,Failures
Cantoni,Reduced failures,Cantoni Training & Support,Motor training,Incorrect installation
Bonfiglioli,Reduced emissions,Bonfiglioli Academy,Drive & gearbox training,"Skills gaps, CO?"
Oriental Motor,Reduced failures,Oriental Motor Training & Support,Motor & drive training,Incorrect installation
Pipeline Products,Reduced downtime,Pipeline Products Warranty & Support,Pipe fittings support,Failures
Lindapter,Reduced failures,Lindapter Academy,Steel connection training,Incorrect installation
Harrison & Clough,Reduced downtime,H&C Warranty & Support,Fastener support,Failures
Onebond,Reduced defects,Onebond Warranty & Support,Adhesive support,Bond failures
Brook Crompton,Reduced failures,Brook Crompton Academy,Motor training,Incorrect installation
Fluro,Reduced downtime,Fluro Warranty & Support,Bearing support,Failures
Technomelt (Henkel),Reduced defects,Henkel Adhesives Academy,Adhesives training & sustainability,Incorrect application
Aburnet,Reduced contamination,Aburnet Safety Programme,PPE & hair containment,Workplace accidents
Uniwipe,Reduced infections,Uniwipe Safety Programme,Hygiene & cleaning wipes,Workplace hygiene gaps
Hutchinson,Reduced failures,Hutchinson Academy,Elastomer & sealing training,Incorrect application
IPL (Industrial Plastics),Reduced CO?,IPL Sustainability Programme,Eco?friendly plastics,Environmental impact
Cutan (Deb/SC Johnson),Reduced infections,SC Johnson Safety Programme,Hand hygiene programme,Workplace hygiene gaps
Pledge (SC Johnson),Reduced waste,SC Johnson Sustainability Programme,Eco?friendly cleaning,Environmental impact
Swarfega (Deb/SC Johnson),Reduced infections,SC Johnson Safety Programme,Industrial hand cleaner programme,Workplace hygiene gaps
Glade (SC Johnson),Reduced waste,SC Johnson Sustainability Programme,Eco?friendly air fresheners,Environmental impact
Camfil,Reduced emissions,Camfil Academy,Air filtration training & sustainability,Pollution & skills gaps
Aurelia Gloves,Reduced injuries,Aurelia Safety Programme,PPE glove programme,Workplace accidents
Directa,Reduced downtime,Directa Warranty & Support,Industrial supplies support,Failures
Fafnir (Schaeffler),Reduced failures,Schaeffler Academy,Bearing training,Incorrect installation
NMB Technologies,Reduced failures,NMB Training & Support,Bearing & electronics training,Incorrect installation
NACHI,Reduced failures,NACHI Academy,Bearings & cutting tools training,Incorrect installation
FK Bearing Units,Reduced downtime,FK Bearings Warranty & Support,Bearing support,Failures
Nice,Reduced failures,Nice Academy,Automation & smart home training,Incorrect installation
BNL Bearing,Reduced failures,BNL Training & Support,Plastic bearing training,Incorrect installation
Karnasch,Improved productivity,Karnasch Training & Support,Cutting tool training,Incorrect use
Torrington (Timken),Reduced failures,Timken Academy,Bearing training,Incorrect installation
Cannon Tools,Reduced downtime,Cannon Tools Warranty & Support,Tool support,Failures
Technical Safety Products,Reduced injuries,TSP Safety Programme,PPE & safety equipment,Workplace accidents
Panolin,Reduced CO?,Panolin Sustainability Programme,Eco?friendly lubricants,Environmental impact
Mirius,Reduced infections,Mirius Hygiene Programme,Cleaning & hygiene chemicals,Workplace hygiene gaps
Northwood,Reduced infections,Northwood Hygiene Programme,Hygiene & tissue products,Workplace hygiene gaps
Ideal Sealants,Reduced downtime,Ideal Sealants Warranty & Support,Sealant support,Failures
Sheffield Gauge Plate,Reduced downtime,Sheffield Gauge Plate Warranty & Support,Tool steel support,Failures
Bibielle,Reduced defects,Bibielle Training & Support,Abrasives training,Incorrect application
Macfarlane Packaging,Reduced waste,Macfarlane Sustainability Programme,Eco?friendly packaging,Waste
Eland Cables,Reduced failures,Eland Academy,Cable training,Incorrect installation
Sovereign Office,Reduced CO?,Sovereign Sustainability Programme,Eco?friendly office furniture,Environmental impact
Jasic,Improved weld quality,Jasic Welding Academy,Welding training,Skills gaps
Weld Star,Reduced downtime,Weld Star Warranty & Support,Welding consumables support,Failures
Mosa,Reduced failures,Mosa Academy,Generator & welding training,Incorrect installation
Tecna,Improved productivity,Tecna Academy,Welding & balancer training,Incorrect use
G Tech,Reduced downtime,G Tech Warranty & Support,Appliance support,Failures
FIAC,Improved uptime,FIAC Academy,Compressor training,Incorrect installation
Derma Shield,Reduced injuries,Derma Shield Safety Programme,Skin protection programme,Workplace accidents
Swann?Morton,Reduced injuries,Swann?Morton Safety Programme,Surgical blade safety programme,Workplace accidents
Hi?Fi Filters,Reduced failures,Hi?Fi Filters Academy,Filtration training,Incorrect application
HFPHSC – Fluid Power Hose Cell,Reduced failures,Hose Cell Training & Support,Hose assembly training,Incorrect installation
HFPIND – Fluid Power Industrial,Reduced failures,Industrial Fluid Power Training,Industrial hydraulics training,Incorrect installation
HFPVAA – Fluid Power Valves,Reduced failures,Valve Training & Support,Valve training,Incorrect installation
FPSERV – Fluid Power Services,Reduced downtime,Fluid Power Services Support,Hydraulic service support,Failures
HFPVAN – Fluid Power Mobile Van,Reduced downtime,Mobile Van Service Programme,On?site hydraulic service,Equipment failures
Benteler,Reduced emissions,Benteler Academy,Automotive & steel training,"Skills gaps, CO?"
Buxoplas,Reduced downtime,Buxoplas Warranty & Support,Plastic component support,Failures
Enerpac,Reduced failures,Enerpac Academy,Hydraulic tool training,Incorrect use
Envirogen,Reduced emissions,Envirogen Sustainability Programme,Water treatment & sustainability,Pollution
Fileder,Reduced failures,Fileder Training & Support,Filtration training,Incorrect application
GIMATIC,Reduced failures,Gimatic Academy,Automation & robotics training,Incorrect installation
HENDOR,Reduced downtime,Hendor Warranty & Support,Pump & filtration support,Failures
MAC Valves,Reduced failures,MAC Valves Academy,Pneumatic valve training,Incorrect installation
Mouldshop,Reduced downtime,Mouldshop Warranty & Support,Injection moulding support,Failures
PALL,Reduced emissions,Pall Academy,Filtration & sustainability training,Incorrect application
Pegasus Hydraulics,Reduced downtime,Pegasus Warranty & Support,Hydraulic component support,Failures
Philmac,Reduced failures,Philmac Academy,Pipe fittings training,Incorrect installation
Pneumatrol,Reduced downtime,Pneumatrol Warranty & Support,Pneumatic valve support,Failures
Wouter Witzel,Reduced failures,Wouter Witzel Academy,Valve training,Incorrect installation
Autol,Reduced downtime,Autol Warranty & Support,Lubrication system support,Failures
Centurion Europe,Reduced injuries,Centurion Safety Programme,PPE & safety equipment,Workplace accidents
Holemaker Technology,Improved productivity,HMT Training & Support,Magnetic drilling & cutting training,Incorrect use
Master Abrasives,Reduced defects,Master Abrasives Training,Abrasives training,Incorrect application
Castle Carbide,Reduced downtime,Castle Carbide Warranty & Support,Cutting tool support,Failures
Klipspringer,Reduced incidents,Klipspringer Hygiene Programme,Hygiene & food safety programme,Contamination
ATAM UK,Reduced failures,ATAM Training & Support,Solenoid coil training,Incorrect installation
Plasson,Reduced failures,Plasson Academy,Pipe fittings training,Incorrect installation
MA Hydraulics,Reduced downtime,MA Hydraulics Warranty & Support,Hydraulic component support,Failures
Webtec,Improved accuracy,Webtec Academy,Hydraulic measurement training,Incorrect use
Emerson,Reduced emissions,Emerson Academy,Automation & sustainability training,"Skills gaps, CO?"
Anderol,Reduced CO?,Anderol Sustainability Programme,Eco?friendly lubricants,Environmental impact
Walker Fire,Reduced incidents,Walker Fire Safety Programme,Fire safety training & support,Workplace accidents
Regal Tags,Reduced incidents,Regal Tags Safety Programme,Safety tagging programme,Workplace accidents
MGM,Reduced failures,MGM Academy,Brake motor training,Incorrect installation
Motovario,Reduced failures,Motovario Academy,Gearbox & drive training,Incorrect installation
Sumitomo,Reduced emissions,Sumitomo Drive Technologies Academy,Drive & gearbox training,"Skills gaps, CO?"
Pilz,Reduced accidents,Pilz Academy,Safety automation training,Skills gaps
Yesss Electrical,Reduced failures,Yesss Electrical Training & Support,Electrical training & support,Incorrect installation
C?Tec,Reduced incidents,C?Tec Fire Safety Programme,Fire alarm & safety training,Workplace accidents
Autosol,Reduced waste,Autosol Sustainability Programme,Eco?friendly cleaning & polishing,Environmental impact
Sofidel,Reduced CO?,Sofidel Sustainability Programme,Tissue & hygiene sustainability,Environmental impact
Q?Connect,Reduced waste,Q?Connect Sustainability Programme,Eco?friendly office supplies,Waste
Bondhus,Reduced downtime,Bondhus Warranty & Support,Hand tool support,Failures
Ullman,Reduced downtime,Ullman Warranty & Support,Inspection tool support,Failures
MK Morse,Improved productivity,MK Morse Academy,Saw blade training,Incorrect use
Right Lines,Reduced downtime,Right Lines Warranty & Support,Stationery support,Failures
Ansmann,Reduced waste,Ansmann Sustainability Programme,Eco?friendly batteries & chargers,Environmental impact
Rodo,Reduced downtime,Rodo Warranty & Support,Decorating tool support,Failures
Antalis,Reduced CO?,Antalis Sustainability Programme,Eco?friendly paper & packaging,Environmental impact
Coast Torches,Reduced downtime,Coast Warranty & Support,Torch & lighting support,Failures
RH Nuttall,Reduced downtime,RH Nuttall Warranty & Support,Gasket & washer support,Failures
SSP,Reduced incidents,SSP Safety Programme,Safety signage programme,Workplace accidents
Coo?Var,Reduced waste,Coo?Var Sustainability Programme,Eco?friendly paints & coatings,Environmental impact
Spontex,Reduced waste,Spontex Sustainability Programme,Eco?friendly cleaning products,Environmental impact
Sinclair & Rush,Reduced downtime,Sinclair & Rush Warranty & Support,Plastic components support,Failures
Justrite,Reduced incidents,Justrite Safety Programme,Safety cans & spill control,Workplace accidents
Redhill Manufacturing,Reduced downtime,Redhill Warranty & Support,Storage & handling support,Failures
Hydro Holding (FB),Reduced failures,Hydro Holding Academy,Hydraulic fittings training,Incorrect installation
Midland Pallet Trucks,Reduced downtime,Midland Warranty & Support,Pallet truck support,Failures
Blickle,Reduced failures,Blickle Academy,Castor & wheel training,Incorrect application
Brannan,Reduced downtime,Brannan Warranty & Support,Thermometer & gauge support,Failures
Censol,Reduced downtime,Censol Warranty & Support,Lubricant & chemical support,Failures
Kenco,Reduced CO?,Kenco Sustainability Programme,Coffee sustainability,Environmental impact
Tetley,Reduced CO?,Tetley Sustainability Programme,Tea sustainability,Environmental impact
Yorkshire Tea,Reduced CO?,Yorkshire Tea Sustainability Programme,Tea sustainability,Environmental impact
Cadburys (Mondelez),Reduced CO?,Mondelez Cocoa Life,Cocoa sustainability,Environmental impact
Nestlé,Reduced CO?,Nestlé Creating Shared Value,Food & beverage sustainability,Environmental impact
Tate and Lyle,Reduced CO?,Tate & Lyle Sustainability Programme,Sugar & ingredients sustainability,Environmental impact
Harrogate (Harrogate Water),Reduced plastic,Harrogate Sustainability Programme,Bottled water sustainability,Environmental impact
Lakeland Dairies,Reduced CO?,Lakeland Sustainability Programme,Dairy sustainability,Environmental impact
Romold,Reduced incidents,Romold Safety Programme,Spill containment programme,Workplace accidents
Carex (PZ Cussons),Reduced infections,Carex Hygiene Programme,Hand hygiene programme,Workplace hygiene gaps
Rubbermaid (Newell Brands),Reduced waste,Rubbermaid Sustainability Programme,Consumer goods sustainability,Environmental impact
Browns Fasteners,Reduced downtime,Browns Warranty & Support,Fastener support,Failures
RCF Bolt & Nut,Reduced downtime,RCF Warranty & Support,Bolt & nut support,Failures
Schnorr,Reduced failures,Schnorr Academy,Disc spring & fastener training,Incorrect installation
Charles Bentley,Reduced waste,Bentley Sustainability Programme,Eco?friendly household products,Environmental impact
Gladiator,Reduced downtime,Gladiator Warranty & Support,Tool & storage support,Failures
Aircat Pneumatic Tools,Reduced downtime,Aircat Warranty & Support,Pneumatic tool support,Failures
Kennametal,Improved productivity,Kennametal Academy,Cutting tool training & sustainability,Incorrect use
Cummins,Reduced emissions,Cummins Academy,Engine & power training,"Skills gaps, CO?"
Zebra (Zebra Technologies),Improved accuracy,Zebra Learning Academy,Data capture & IT training,Skills gaps
Thompson Couplings,Reduced downtime,Thompson Warranty & Support,Coupling support,Failures
Groz,Reduced failures,Groz Academy,Tool & lubrication training,Incorrect use
Macnaught,Reduced failures,Macnaught Academy,Fluid handling training,Incorrect installation
Hayley Dexis Belting,Reduced failures,Hayley Training & Support,Belting & power transmission training,Incorrect installation
Hycon Hydraulics,Reduced downtime,Hycon Warranty & Support,Hydraulic tool support,Failures
Polaris,Reduced emissions,Polaris Academy,Vehicle & power training,"Skills gaps, CO?"
Maxpower,Reduced downtime,Maxpower Warranty & Support,Tool support,Failures
AutoDrain,Reduced incidents,AutoDrain Safety Programme,Vehicle depollution & safety,Workplace accidents
Wiha,Improved productivity,Wiha Academy,Hand tool training & sustainability,Incorrect use
Lubcon,Reduced failures,Lubcon Academy,Lubrication training & sustainability,Incorrect application
Ecolab,Reduced infections & emissions,Ecolab Hygiene Academy,"Hygiene, water & sustainability training","Workplace hygiene gaps, CO?"
Titan Safety,Reduced injuries,Titan Safety Programme,PPE & safety clothing,Workplace accidents
Mennekes,Reduced failures,Mennekes Academy,Industrial plugs & EV charging training,Incorrect installation
Pica,Reduced waste,Pica Sustainability Programme,Eco?friendly markers,Plastic waste
Permabond,Reduced defects,Permabond Training & Support,Adhesives training,Incorrect application
GT Line,Reduced downtime,GT Line Warranty & Support,Tool case support,Failures
Ecotile,Reduced CO?,Ecotile Sustainability Programme,Eco?friendly flooring,Environmental impact
Green Boom,Reduced waste,Green Boom Sustainability Programme,Eco?friendly spill absorbents,Pollution
Portable Power Technology,Reduced downtime,PPT Warranty & Support,Portable power support,Failures
Himalayan,Reduced CO?,Himalayan Sustainability Programme,Eco?friendly salt & food sourcing,Environmental impact
Benchmark,Reduced injuries,Benchmark Safety Programme,PPE & safety clothing,Workplace accidents
Piercan,Reduced injuries,Piercan Safety Programme,Protective gloves programme,Workplace accidents
Ultimate Clothing Collection,Reduced injuries,Ultimate Safety Programme,Workwear & PPE,Workplace accidents
Lubeworks,Reduced downtime,Lubeworks Warranty & Support,Lubrication equipment support,Failures
